,element,Unit_lattice_constant,lattice_constant_a,lattice_constant_b,lattice_constant_c,Tc,Element_Normalize,Tc_mean,Tc_range
0,La1.85Ba0.15Cu1O4,,,,,30.0,Ba3La37(CuO4)20,28.82,2.0
1,La1.85Sr0.15Cu1O4,,,,,39.0,Sr3La37(CuO4)20,36.01482142857143,22.299999999999997
2,Lu1.8Ba0.2Cu1O4,,,,,71.9,BaLu9(CuO4)5,71.9,0.0
3,Y0.9Ba0.1Cu1O4,,,,,81.0,BaY9(CuO4)10,81.0,0.0
4,Ba0.15La1.85Cu1O4,,,,,28.0,Ba3La37(CuO4)20,28.82,2.0
5,Sr0.15La1.85Cu1O4,,,,,34.7,Sr3La37(CuO4)20,36.01482142857143,22.299999999999997
6,Sr0.2La1.8Cu0.95Ti0.05O4,,,,,21.0,Sr4La36TiCu19O80,21.0,0.0
7,Sr0.2La1.8Cu0.99V0.01O4,,,,,12.0,Sr20La180VCu99O400,12.0,0.0
8,Sr0.2La1.8Cu0.99Cr0.01O4,,,,,22.0,Sr20La180CrCu99O400,22.0,0.0
9,Sr0.2La1.8Cu0.98Mn0.02O4,,,,,32.0,Sr10La90MnCu49O200,32.0,0.0
10,Sr0.2La1.8Cu0.95Fe0.05O4,,,,,30.0,Sr4La36FeCu19O80,30.0,0.0
11,Sr0.2La1.8Cu0.95Co0.05O4,,,,,16.0,Sr4La36CoCu19O80,16.0,0.0
12,Sr0.2La1.8Cu0.95Ni0.05O4,,,,,21.0,Sr4La36Cu19NiO80,21.0,0.0
13,Sr0.2La1.8Cu0.99Zn0.01O4,,,,,29.0,Sr20La180ZnCu99O400,23.333333333333332,18.0
14,Pr0.1La1.7Sr0.2Cu1O4,,,,,36.0,Sr2La17Pr(CuO4)10,36.0,0.0
15,Nd0.1La1.7Sr0.2Cu1O4,,,,,35.0,Sr2La17Nd(CuO4)10,35.0,0.0
16,Sm0.1La1.7Sr0.2Cu1O4,,,,,32.0,Sr2La17Sm(CuO4)10,32.0,0.0
17,Gd0.1La1.7Sr0.2Cu1O4,,,,,30.0,Sr2La17Gd(CuO4)10,30.0,0.0
18,Y1Ba2Cu2.85Fe0.15O7,,,,,51.0,Ba40Y20Fe3Cu57O140,51.0,0.0
19,Y1Ba2Cu2.7Fe0.3O7,,,,,33.0,Ba20Y10Fe3Cu27O70,41.9,17.799999999999997
20,Y1Ba2Cu2.97Fe0.03O7,,3.822,3.891,11.67,82.0,Ba200Y100Fe3Cu297O700,86.6,9.200000000000003
21,Y1Ba2Cu2.94Fe0.06O7,,,,,60.0,Ba100Y50Fe3(Cu21O50)7,74.10000000000001,29.299999999999997
22,Y1Ba2Cu2.88Fe0.12O7,,,,,54.0,Ba50Y25Fe3Cu72O175,66.825,25.0
23,Y1Ba2Cu3O7,,3.822,3.891,11.67,90.0,Ba2YCu3O7,90.18623188405797,45.5
24,Y1Ba2Cu3S1O6,,3.855,3.919,11.75,90.0,Ba2YCu3SO6,89.5,1.0
25,Y1Ba2Cu3Cl1O6,,,,,72.0,Ba2YCu3ClO6,72.0,0.0
26,Y1Ba2Cu3O7,,,,,93.0,Ba2YCu3O7,90.18623188405797,45.5
27,La1.85Sr0.15Cu1O4,,,,,36.0,Sr3La37(CuO4)20,36.01482142857143,22.299999999999997
28,Y1Ba2Cu3O7,,,,,91.85,Ba2YCu3O7,90.18623188405797,45.5
29,Y1Ba2Cu3O7,,,,,91.95,Ba2YCu3O7,90.18623188405797,45.5
30,Y1Ba2Cu3O7,,,,,89.7,Ba2YCu3O7,90.18623188405797,45.5
31,Y1Ba2Cu3O7,,,,,89.9,Ba2YCu3O7,90.18623188405797,45.5
32,Y1Ba2Cu3O7,,3.817,3.883,11.633,90.0,Ba2YCu3O7,90.18623188405797,45.5
33,Y1Ba2Cu3O6.9,,,,,95.0,Ba20Y10(Cu10O23)3,90.9753947368421,15.0
34,Y1Ba2Cu3O7,,3.824,3.887,11.657,91.6,Ba2YCu3O7,90.18623188405797,45.5
35,Y1Ba2Cu2.75Ni0.25O7,,3.819,3.886,11.657,63.9,Ba8Y4Cu11NiO28,58.95,9.899999999999999
36,Y1Ba2Cu3O7,,3.851,3.851,11.672,92.0,Ba2YCu3O7,90.18623188405797,45.5
37,Y1Ba2Cu2.95Al0.05O7,,3.835,3.884,11.688,88.0,Ba40Y20AlCu59O140,88.0,0.0
38,Y1Ba2Cu2.9Al0.1O7,,3.844,3.895,11.657,75.0,Ba20Y10AlCu29O70,75.0,0.0
39,La1.85Sr0.15Cu1O4,,3.777,,13.226,39.3,Sr3La37(CuO4)20,36.01482142857143,22.299999999999997
40,La1.85Sr0.15Cu0.975Ni0.025O4,,3.775,,13.222,22.6,Sr6La74Cu39NiO160,19.98,10.3
41,La1.85Sr0.15Cu0.95Ni0.05O4,,3.776,,13.208,4.2,Sr3La37Cu19NiO80,4.2,0.0
42,Y1Ba2Cu2.89Al0.11O7,,3.847,3.851,11.659,82.0,Ba200Y100Al11Cu289O700,82.0,0.0
43,Y1Ba2Cu2.88Al0.12O7,,3.855,3.859,11.684,51.0,Ba50Y25Al3Cu72O175,51.0,0.0
44,Y1Ba2Cu2.87Al0.13O7,,3.843,3.859,11.667,45.0,Ba200Y100Al13(Cu41O100)7,45.0,0.0
45,Y1Ba2Cu2.865Al0.135O7,,3.856,3.86,11.674,45.0,Ba400Y200Al27Cu573O1400,45.0,0.0
46,Y1Ba2Cu2.82Al0.18O7,,3.854,3.856,11.668,20.0,Ba100Y50Al9Cu141O350,20.0,0.0
47,Y1Ba2Cu3O6.8,,,,,91.6,Ba10Y5Cu15O34,82.58636363636364,29.900000000000006
48,Y1Ba2Cu3H0.14O7,,,,,92.5,Ba100Y50Cu150(HO50)7,92.5,0.0
49,Y1Ba2Cu3H0.48O7,,,,,93.6,Ba50Y25Cu75H12O175,70.8,45.599999999999994
50,Y1Ba2Cu3H1O7,,,,,93.2,Ba2YCu3HO7,93.2,0.0
51,Eu1Ba2Cu3O7.1,,3.845,3.901,11.704,94.9,Ba20Eu10Cu30O71,94.9,0.0
52,Gd1Ba2Cu3O7.08,,3.84,3.899,11.703,93.8,Ba50Gd25(Cu25O59)3,93.8,0.0
53,Dy1Ba2Cu3O6.82,,3.828,3.889,11.668,92.7,Ba100Dy50Cu150O341,92.7,0.0
54,Ho1Ba2Cu3O6.71,,3.822,3.888,11.67,92.9,Ba200Ho100Cu300O671,92.9,0.0
55,Er1Ba2Cu3O6.82,,3.815,3.885,11.659,92.4,Ba100Er50Cu150O341,92.4,0.0
56,Tm1Ba2Cu3O6.65,,3.81,3.882,11.656,92.5,Ba40Tm20Cu60O133,92.5,0.0
57,Yb1Ba2Cu3O6.71,,3.799,3.873,11.65,87.0,Ba200Yb100Cu300O671,87.0,0.0
58,Y1Ba2Cu3O6.72,,3.824,3.887,11.657,93.4,Ba50Y25(Cu25O56)3,72.07142857142857,35.400000000000006
59,Nd1Ba2Cu3O7.16,,3.855,3.914,11.736,95.3,Ba50Nd25Cu75O179,95.3,0.0
60,Sm1Ba2Cu3O7.11,,3.855,3.899,11.721,93.5,Ba200Sm100(Cu100O237)3,93.5,0.0
61,La1.85Sr0.15Cu1O4,,,,,37.1,Sr3La37(CuO4)20,36.01482142857143,22.299999999999997
62,Y1Ba2.01Cu2.81Ni0.19O6.7,,3.819,3.888,11.661,65.0,Ba201Y100Cu281Ni19O670,65.0,0.0
63,Y1Ba2.02Cu2.18Zn0.82O7,,3.829,3.887,11.67,30.0,Ba101Y50Zn41Cu109O350,30.0,0.0
64,Y1Ba1.99Cu2.847Ag0.153O6.7,,3.827,3.893,11.683,86.0,Ba1990Y1000Cu2847Ag153O6700,86.0,0.0
65,Y1Ba2Cu2.902Pt0.098O6.4,,3.82,3.886,11.675,81.0,Ba1000Y500Cu1451Pt49O3200,81.0,0.0
66,Y1Ba2.01Cu2.7Co0.3O6.8,,3.871,,11.664,36.0,Ba201Y100Co30(Cu27O68)10,36.0,0.0
67,Y1.01Ba2.01Cu2.906Ni0.094O6.7,,3.819,3.886,11.662,71.0,Ba1005Y505Cu1453Ni47O3350,71.0,0.0
68,Y1Ba2Cu2.697Mn0.303O6.9,,3.828,3.889,11.673,63.0,Ba2000Y1000Mn303(Cu899O2300)3,63.0,0.0
69,Y1Ba2Cu2.844Fe0.156O7,,3.863,,11.665,57.0,Ba500Y250Fe39Cu711O1750,57.0,0.0
70,Y1.01Ba2.01Cu2.697Fe0.303O,,3.869,,11.61,36.0,Ba2010Y1010Fe303Cu2697O1000,36.0,0.0
71,Y1Ba2Cu3O6.9,,3.823,3.888,11.665,88.0,Ba20Y10(Cu10O23)3,90.9753947368421,15.0
72,Y0.99Ba1.99Cu2.847Li0.153O6.4,,3.826,3.889,11.667,62.0,Ba1990Li153Y990Cu2847O6400,62.0,0.0
73,Y1.01Ba2.03Cu2.808Li0.192O6.6,,3.829,3.884,11.68,33.0,Ba1015Li96Y505(Cu117O275)12,33.0,0.0
74,Y1Ba2Cu3F0.825O,,,,,90.5,Ba80Y40Cu120O40F33,90.5,0.0
75,Y1Ba2Cu3F1.65O5.675,,,,,90.3,Ba80Y40Cu120O227F66,90.3,0.0
76,Y1Ba2Cu3O7,,,,,93.0,Ba2YCu3O7,90.18623188405797,45.5
77,La1.85Sr0.15Cu0.925Zn0.025O4,,3.777,,13.221,15.0,Sr6La74ZnCu37O160,15.0,0.0
78,Y1Ba2Cu2.841Co0.159O6.8,,3.862,,11.664,54.0,Ba2000Y1000Co159Cu2841O6800,54.0,0.0
79,Y1Ba2.01Cu2.806Cr0.194O7.3,,3.831,3.894,11.686,62.0,Ba1005Y500Cr97Cu1403O3650,62.0,0.0
80,Y1Ba2Cu3O6.74,,,,,91.0,Ba100Y50Cu150O337,78.275,31.0
81,Y1Ba2Cu2.98Fe0.02O6.93,,3.819,3.884,11.667,91.8,Ba200Y100Fe2Cu298O693,90.4,2.799999999999997
82,Y1Ba2Cu2.95Fe0.05O6.92,,3.83,3.878,11.666,91.8,Ba200Y100Fe5Cu295O692,91.8,0.0
83,Y1Ba2Cu2.9Fe0.1O6.92,,3.86,,11.683,76.0,Ba100Y50Fe5Cu145O346,62.0,28.0
84,Y1Ba2Cu2.8Fe0.2O6.93,,3.864,,11.684,49.0,Ba200Y100Fe20(Cu40O99)7,49.0,0.0
85,Y1Ba2Cu2.6Fe0.4O7,,3.871,,11.674,31.0,Ba10Y5Fe2Cu13O35,31.0,0.0
86,Y1Ba2Cu2.95Al0.05O6.93,,3.835,3.883,11.682,91.0,Ba200Y100Al5Cu295O693,91.0,0.0
87,Y1Ba2Cu2.9Al0.1O6.93,,3.86,3.866,11.675,92.0,Ba200Y100Al10Cu290O693,92.0,0.0
88,Y1Ba2Cu2.8Al0.2O6.91,,3.862,,11.673,85.0,Ba200Y100Al20Cu280O691,85.0,0.0
89,Y1Ba2Cu2.7Al0.3O6.99,,3.863,,11.672,73.0,Ba200Y100Al30(Cu90O233)3,73.0,0.0
90,Y1Ba2Cu2.6Al0.4O7,,3.863,,11.671,42.0,Ba10Y5Al2Cu13O35,42.0,0.0
91,Y1Ba2Cu2.9Ni0.1O6.87,,3.829,3.886,11.637,55.0,Ba200Y100Cu290Ni10O687,55.0,0.0
92,Y1Ba2Cu2.8Ni0.2O6.82,,3.835,3.856,11.657,45.0,Ba100Y50Cu140Ni10O341,45.0,0.0
93,Y1Ba2Cu2.98Co0.02O6.9,,3.82,3.883,11.667,93.4,Ba100Y50CoCu149O345,93.4,0.0
94,Y1Ba2Cu2.95Co0.05O6.92,,3.829,3.88,11.67,94.3,Ba200Y100Co5Cu295O692,94.3,0.0
95,Y1Ba2Cu2.9Co0.1O6.82,,3.861,,11.687,73.0,Ba100Y50Co5Cu145O341,73.0,0.0
96,Y1Ba2Cu2.8Co0.2O6.83,,3.868,,11.684,53.0,Ba200Y100Co20Cu280O683,53.0,0.0
97,Y1Ba2Cu2.7Co0.3O6.88,,3.872,,11.68,22.0,Ba100Y50Co15Cu135O344,22.0,0.0
98,Y1Ba2Cu2.7Ni0.3O6.97,,3.833,3.849,11.662,40.0,Ba200Y100Cu270Ni30O697,50.2,20.4
99,Y1Ba2Cu2.9Zn0.1O6.81,,3.819,3.888,11.682,55.0,Ba200Y100Zn10Cu290O681,55.0,0.0
100,Y1Ba2Cu2.8Zn0.2O6.79,,3.82,3.889,11.68,45.0,Ba200Y100Zn20(Cu40O97)7,45.0,0.0
101,Y1Ba2Cu2.7Zn0.3O6.74,,3.82,3.893,11.68,45.0,Ba100Y50Zn15Cu135O337,45.0,0.0
102,Y1Ba2Cu3O6.85,,3.815,3.882,11.67,92.0,Ba40Y20Cu60O137,87.33636363636364,15.0
103,Y1Ba2Cu3O7,,,,,91.3,Ba2YCu3O7,90.18623188405797,45.5
104,Ho1Ba2Cu3O7,,,,,92.1,Ba2HoCu3O7,92.4,3.700000000000003
105,Sm1Ba2Cu3O7,,,,,92.6,Ba2SmCu3O7,89.48571428571428,23.0
106,Ho1Ba2Cu3O7,,,,,92.1,Ba2HoCu3O7,92.4,3.700000000000003
107,Y1Ba2Cu3O6.8,,,,,79.0,Ba10Y5Cu15O34,82.58636363636364,29.900000000000006
108,La1.8Sr0.2Cu1O4,,,,,35.7,SrLa9(CuO4)5,30.797222222222224,22.6
109,Y1.2Ba0.8Cu1O4,,,,,75.0,Ba4Y6(CuO4)5,75.0,0.0
110,La1.85Sr0.15Cu1O4,,,,,40.0,Sr3La37(CuO4)20,36.01482142857143,22.299999999999997
111,Y1Ba2Cu3O6.98,,,,,92.0,Ba100Y50Cu150O349,89.78888888888888,8.900000000000006
112,Nd1Ba2Cu3O7,,3.873,3.906,11.73,88.0,Ba2NdCu3O7,93.38571428571429,8.0
113,Nd1Ba2Cu3S1O6,,3.879,,11.69,69.0,Ba2NdCu3SO6,69.0,0.0
114,Nd1Ba2Cu3S1O5,,3.897,,11.69,56.0,Ba2NdCu3SO5,56.0,0.0
115,Eu1Ba2Cu3O7,,3.821,3.884,11.61,92.0,Ba2EuCu3O7,90.15833333333335,13.0
116,Eu1Ba2Cu3S1O6,,3.884,,11.65,85.0,Ba2EuCu3SO6,85.0,0.0
117,Gd1Ba2Cu3O7,,3.844,3.897,11.7,92.0,Ba2GdCu3O7,91.4375,18.200000000000003
118,Gd1Ba2Cu3S1O6,,3.887,3.911,11.72,92.0,Ba2GdCu3SO6,92.0,0.0
119,Y1Ba2Cu3O6.89,,,,,92.0,Ba200Y100Cu300O689,86.34,27.39999999999999
120,Y1Ba2Cu3S0.03O7.12,,,,,90.0,Ba200Y100Cu300S3O712,90.0,0.0
121,Y1Ba2Cu3S0.06O7.23,,,,,89.0,Ba200Y100Cu300(S2O241)3,89.0,0.0
122,Y1Ba2Cu3S0.12O7.28,,,,,89.0,Ba50Y25Cu75S3O182,89.0,0.0
123,Gd1Ba2Cu3O6.9,,,,,92.0,Ba20Gd10(Cu10O23)3,92.0,0.0
124,Gd1Ba2Cu2.7Fe0.3O6.9,,,,,41.0,Ba20Gd10Fe3(Cu9O23)3,41.0,0.0
125,Gd1Ba2Cu2.7Co0.3O6.9,,,,,33.0,Ba20Gd10Co3(Cu9O23)3,33.0,0.0
126,Y1Ba2Cu3O6.9,,3.846,3.883,11.661,91.0,Ba20Y10(Cu10O23)3,90.9753947368421,15.0
127,Y1Ba2Cu2.5Ni0.5O7,,3.82,3.883,11.647,52.3,Ba4Y2Cu5NiO14,52.3,0.0
128,La2.8Ba3.2Cu6O14.07,,3.902,,11.713,13.0,Ba320La280(Cu200O469)3,13.0,0.0
129,La2.6Ba3.4Cu6O14.06,,3.903,,11.714,26.0,Ba170La130Cu300O703,26.0,0.0
130,La2.4Ba3.6Cu6O14.01,,3.904,,11.738,39.0,Ba120La80Cu200O467,39.0,0.0
131,La2.2Ba3.8Cu6O13.86,,3.905,,11.758,52.0,Ba190La110(Cu100O231)3,52.0,0.0
132,La2Ba4Cu6O13.8,,3.909,,11.78,65.0,Ba20La10(Cu10O23)3,65.0,0.0
133,Y1La2Ba3Cu6O14.53,,3.861,,11.603,25.6,Ba300La200Y100Cu600O1453,25.6,0.0
134,Y1La1.8Ba3.2Cu6O14.49,,3.875,,11.645,41.9,Ba320La180Y100(Cu200O483)3,41.9,0.0
135,Y1La1.6Ba3.4Cu6O14.38,,3.844,3.877,11.673,53.1,Ba170La80Y50Cu300O719,53.1,0.0
136,Y1La1.4Ba3.6Cu6O14.2,,3.873,3.882,11.668,64.0,Ba18La7Y5Cu30O71,64.0,0.0
137,Y1La1.2Ba3.8Cu6O14.07,,3.852,3.861,11.682,70.4,Ba380La120Y100(Cu200O469)3,70.4,0.0
138,Y1La1Ba4Cu6O13.95,,3.853,3.863,11.687,72.2,Ba80La20Y20(Cu40O93)3,72.2,0.0
139,Y2La1Ba3Cu6O14.17,,3.84,3.849,11.569,28.0,Ba300La100Y200Cu600O1417,28.0,0.0
140,Y2La0.8Ba3.2Cu6O14.2,,3.848,,11.567,46.0,Ba16La4Y10Cu30O71,46.0,0.0
141,Y2La0.6Ba3.4Cu6O14.02,,3.87,,11.647,60.0,Ba170La30Y100Cu300O701,60.0,0.0
142,Y2La0.4Ba3.6Cu6O13.91,,3.812,3.874,11.624,78.0,Ba360La40Y200Cu600O1391,78.0,0.0
143,Y2La0.2Ba3.8Cu6O13.92,,3.81,3.876,11.64,93.0,Ba95La5Y50(Cu25O58)6,93.25,0.5
144,Y2La0.15Ba3.85Cu6O13.99,,,,,93.2,Ba385La15Y200Cu600O1399,93.2,0.0
145,Y2La0.1Ba3.9Cu6O13.94,,,,,90.0,Ba195La5Y100Cu300O697,90.0,0.0
146,Y2Ba4Cu6O13.9,,3.817,3.884,11.666,93.0,Ba40Y20Cu60O139,91.8379411764706,7.5
147,Y1Ba2Cu3O6.94,,3.824,3.89,11.679,97.0,Ba100Y50Cu150O347,92.55714285714285,7.5
148,Y1Ba1.975La0.025Cu3O6.95,,3.82,3.889,11.67,99.0,Ba79LaY40(Cu60O139)2,99.0,0.0
149,Y1Ba1.95La0.05Cu3O6.9,,3.821,3.889,11.672,99.0,Ba39LaY20(Cu10O23)6,99.0,0.0
150,Y1Ba1.925La0.075Cu3O6.9,,3.827,3.885,11.659,99.0,Ba77La3Y40(Cu10O23)12,99.0,0.0
151,Y1Ba1.9La0.1Cu3O6.9,,3.83,3.883,11.653,95.0,Ba19LaY10(Cu10O23)3,88.4,13.200000000000003
152,Y1Ba1.8La0.2Cu3O6.95,,3.839,3.872,11.618,78.0,Ba36La4Y20Cu60O139,78.0,0.0
153,Y1Ba1.7La0.3Cu3O7,,3.858,3.859,11.582,67.0,Ba17La3Y10(Cu3O7)10,59.75,12.200000000000003
154,Y1Ba1.6La0.4Cu3O7.05,,3.858,3.858,11.58,52.0,Ba32La8Y20(Cu20O47)3,52.0,0.0
155,Y1Ba1.5La0.5Cu3O7.08,,3.858,,11.572,38.0,Ba75La25Y50(Cu25O59)6,38.0,0.0
156,Y1Ba2Cu2.8Co0.2O7.04,,,,,53.0,Ba50Y25Co5(Cu35O88)2,53.0,0.0
157,Bi2Sr2Ca2Cu3O,,,,,111.0,Sr2Ca2Cu3Bi2O,112.5,3.0
158,Bi2Sr2Ca1Cu2O,,,,,87.0,Sr2CaCu2Bi2O,87.0,0.0
159,Y1Ba2Cu3O7,,3.822,3.892,11.674,92.0,Ba2YCu3O7,90.18623188405797,45.5
160,Y1Ba2Cu2.97Co0.03O6.96,,3.824,3.889,11.677,92.0,Ba200Y100Co3(Cu99O232)3,92.0,0.0
161,Y1Ba2Cu2.925Co0.075O6.97,,,,,92.0,Ba400Y200Co15Cu585O1394,92.0,0.0
162,Y1Ba2Cu2.85Co0.15O7.03,,3.869,,11.701,65.0,Ba200Y100Co15(Cu15O37)19,65.0,0.0
163,Y1Ba2Cu2.775Co0.225O6.99,,3.873,,11.647,58.0,Ba400Y200Co45(Cu185O466)3,58.0,0.0
164,Y1Ba2Cu2.7Co0.3O7.11,,3.878,,11.648,36.0,Ba200Y100Co30(Cu30O79)9,36.0,0.0
165,Y1Ba2Cu2.94Ni0.06O7.01,,3.835,3.897,11.686,85.0,Ba200Y100Cu294Ni6O701,85.0,0.0
166,Y1Ba2Cu2.85Ni0.15O6.84,,3.832,3.894,11.684,75.0,Ba200Y100Cu285(Ni5O228)3,75.0,0.0
167,Y1Ba2Cu2.7Ni0.3O6.88,,3.827,3.889,11.671,73.0,Ba100Y50Cu135Ni15O344,73.0,0.0
168,Y1Ba2Cu2.4Ni0.6O6.94,,3.822,3.88,11.61,66.0,Ba100Y50Cu120Ni30O347,66.0,0.0
169,La1.94Sr0.06Cu1O3.995,,,,,6.5,Sr12La388Cu200O799,6.5,0.0
170,La1.92Sr0.08Cu1O3.994,,,,,20.3,Sr40La960Cu500O1997,20.3,0.0
171,La1.89Sr0.11Cu1O3.986,,,,,29.2,Sr55La945Cu500O1993,29.2,0.0
172,La1.855Sr0.145Cu1O4,,,,,34.9,Sr29La371(CuO4)200,33.1,2.6999999999999957
173,La1.85Sr0.15Cu1O4,,,,,35.2,Sr3La37(CuO4)20,36.01482142857143,22.299999999999997
174,La1.815Sr0.185Cu1O3.964,,,,,33.2,Sr185La1815(Cu250O991)4,33.2,0.0
175,La1.78Sr0.22Cu1O3.945,,,,,34.8,Sr44La356Cu200O789,34.8,0.0
176,La1.75Sr0.25Cu1O3.921,,,,,19.6,Sr250La1750Cu1000O3921,19.6,0.0
177,La1.73Sr0.27Cu1O3.913,,,,,30.6,Sr270La1730Cu1000O3913,30.6,0.0
178,La1Ba2Cu2.9O6.8,,3.892,3.936,11.814,45.0,Ba20La10Cu29O68,45.0,0.0
179,La1.2Ba1.8Cu3O6.98,,3.895,3.927,11.778,80.0,Ba90La60Cu150O349,80.0,0.0
180,La1.9Ba0.1Cu1O4,,3.785,,13.244,26.9,BaLa19(CuO4)10,28.0,4.0
181,La1.9Sr0.1Cu1O3.98,,3.783,,13.209,29.5,Sr5La95Cu50O199,29.5,0.0
182,La1.85Sr0.15Cu1O3.98,,3.773,,13.224,37.9,Sr15La185(Cu50O199)2,37.9,0.0
183,La1.8Sr0.2Cu1O3.99,,,,,27.5,Sr20La180Cu100O399,27.5,0.0
184,La1.9Ca0.1Cu1O3.967,,3.78,,13.158,20.0,Ca100La1900Cu1000O3967,20.0,0.0
185,La1.85Ca0.15Cu1O3.942,,3.779,,13.166,19.0,Ca75La925Cu500O1971,19.0,0.0
186,La1.8Ca0.2Cu1O3.917,,,,,19.5,Ca200La1800Cu1000O3917,19.5,0.0
187,Y1Ba2Cu3O6.94,,,,,92.5,Ba100Y50Cu150O347,92.55714285714285,7.5
188,Y1Ba2Cu3O6.89,,,,,92.1,Ba200Y100Cu300O689,86.34,27.39999999999999
189,Y1Ba2Cu3O6.84,,,,,91.0,Ba50Y25(Cu25O57)3,82.28333333333333,24.0
190,Y1Ba2Cu3O6.83,,,,,89.3,Ba200Y100Cu300O683,90.43333333333334,2.700000000000003
191,Y1Ba2Cu3O6.75,,,,,92.3,Ba8Y4(Cu4O9)3,75.77222222222221,31.199999999999996
192,Y1Ba2Cu3O6.7,,,,,83.0,Ba20Y10Cu30O67,70.27764705882353,37.0
193,Y1Ba2Cu3O6.4,,,,,33.0,Ba10Y5Cu15O32,32.949999999999996,13.199999999999996
194,Y1Ba2Cu2.955Fe0.045O6.89,,,,,72.0,Ba400Y200Fe9Cu591O1378,72.0,0.0
195,Y1Ba2Cu2.9Fe0.1O6.92,,,,,48.0,Ba100Y50Fe5Cu145O346,62.0,28.0
196,Y1Ba2Cu2.52Al0.48O6.74,,,,,68.0,Ba100Y50Al24Cu126O337,68.0,0.0
197,Y1Ba2Cu2.05Al0.95O6.7,,,,,63.0,Ba40Y20Al19Cu41O134,63.0,0.0
198,Y1Ba2Cu2.095Al0.095O6.81,,,,,83.3,Ba400Y200Al19Cu419O1362,83.3,0.0
199,Y1Ba2Cu2.98Zr0.02O6.84,,,,,90.2,Ba100Y50ZrCu149O342,90.2,0.0
200,Y1Ba2Cu2.94Zr0.06O6.81,,,,,92.3,Ba200Y100Zr6(Cu98O227)3,92.3,0.0
201,Y1Ba2Cu2.98Zr0.2O6.75,,,,,89.8,Ba200Y100Zr20Cu298O675,89.8,0.0
202,Eu1Ba2Cu3O6.76,,,,,77.0,Ba50Eu25Cu75O169,77.0,0.0
203,Eu1Ba2Cu3O6.88,,,,,94.0,Ba50Eu25Cu75O172,94.0,0.0
204,Y1Ba2Cu2.98Fe0.02O6.93,,,,,89.0,Ba200Y100Fe2Cu298O693,90.4,2.799999999999997
205,Y1Ba2Cu2.994Zn0.006O6.63,,,,,60.0,Ba1000Y500Zn3(Cu499O1105)3,60.0,0.0
206,Eu0.1La1.7Sr0.2Cu1O4,,,,,33.0,Sr2La17Eu(CuO4)10,33.0,0.0
207,Sm1Ba2Cu3O6.85,,3.858,3.909,11.754,92.8,Ba40Sm20Cu60O137,79.3,38.099999999999994
208,Sm1.05Ba1.95Cu3O6.87,,3.853,3.903,11.743,89.75,Ba65Sm35Cu100O229,89.75,0.0
209,Sm1.15Ba1.85Cu3O6.95,,3.859,3.902,11.741,77.3,Ba37Sm23Cu60O139,77.3,0.0
210,Sm1.2Ba1.8Cu3O7.01,,3.87,3.88,11.658,56.5,Ba180Sm120Cu300O701,56.5,0.0
211,Sm1.28Ba1.72Cu3O7.03,,,,11.639,43.6,Ba172Sm128Cu300O703,43.6,0.0
212,Sm1.35Ba1.65Cu3O7.07,,,,11.639,26.2,Ba165Sm135Cu300O707,26.2,0.0
213,Y1Ba2Cu3O6.75,,,,,89.1,Ba8Y4(Cu4O9)3,75.77222222222221,31.199999999999996
214,Y1Ba2Cu3O6.72,,,,,62.0,Ba50Y25(Cu25O56)3,72.07142857142857,35.400000000000006
215,Y1Ba2Cu3O6.62,,,,,62.0,Ba100Y50Cu150O331,51.825,28.0
216,Bi2Ca1Sr2Cu2O8,,,,,88.5,Sr2CaCu2(BiO4)2,84.95068493150684,39.0
217,Ba0.65K0.35Bi1O3,,,,,23.0,K7Ba13(BiO3)20,28.2,8.8
218,La2Cu1O4.13,,,,,28.0,La200Cu100O413,31.0,6.0
219,La1.9Sr0.1Cu1O4,,,,,26.0,SrLa19(CuO4)10,28.065277777777776,16.1
220,La1.85Sr0.15Cu1O4,,,,,39.0,Sr3La37(CuO4)20,36.01482142857143,22.299999999999997
221,La1.75Sr0.25Cu1O4,,,,,30.0,SrLa7(CuO4)4,17.071428571428573,24.0
222,Y1Ba2Cu3O6.8,,,,,92.0,Ba10Y5Cu15O34,82.58636363636364,29.900000000000006
223,Y1Ba2Cu3O7,,,,,91.0,Ba2YCu3O7,90.18623188405797,45.5
224,Y1Ba2Cu3O7,,,,,92.0,Ba2YCu3O7,90.18623188405797,45.5
225,Y1Ba2Cu3O7,,,,,91.2,Ba2YCu3O7,90.18623188405797,45.5
226,Bi2Sr1.3Ca0.7Cu1O6.15,,,,,84.0,Sr26Ca14Cu20Bi40O123,84.0,0.0
227,Y1Ba2Cu3O6.9,,3.817,3.884,11.671,91.0,Ba20Y10(Cu10O23)3,90.9753947368421,15.0
228,Y1Ba2Cu3O6.55,,3.82,3.89,11.714,89.0,Ba40Y20Cu60O131,63.370000000000005,34.9
229,Ba0.6K0.4Bi1O3,,,,,31.5,K2Ba3(BiO3)5,27.589583333333337,16.0
230,Y1Ba2Cu3O7,,,,,92.0,Ba2YCu3O7,90.18623188405797,45.5
231,Y1Ba2Cu2.85Ag0.15O7,,,,,90.0,Ba40Y20Cu57Ag3O140,90.0,0.0
232,Y1Ba2Cu3O6.9,,,,,90.6,Ba20Y10(Cu10O23)3,90.9753947368421,15.0
233,Y1Ba2Cu3O6.82,,,,,91.2,Ba100Y50Cu150O341,88.64999999999999,8.0
